ROWNUM;Name;AdmArea;District;Location;Longitude_WGS84;Latitude_WGS84;Material;global_id;
66;"Искусственная дорожная неровность по адресу Севанская улица, дом 19";"Южный административный округ";"район Царицыно";"Севанская улица, дом 19";"37.6518876670361";"55.6239463579967";"пластик";"1711255";
67;"Искусственная дорожная неровность по адресу Большая Очаковская улица, дом 42";"Западный административный округ";"район Очаково-Матвеевское";"Большая Очаковская улица, дом 42";"37.446793398842";"55.6761389590435";"пластик";"1711257";
68;"Искусственная дорожная неровность по адресу Армавирская улица, дом 4";"Юго-Восточный административный округ";"район Люблино";"Армавирская улица, дом 4";"37.7524537414965";"55.6751587946411";"пластик";"1711256";
69;"Искусственная дорожная неровность по адресу 1-й Нагатинский проезд, дом 16";"Южный административный округ";"район Нагатино-Садовники";"1-й Нагатинский проезд, дом 16";"37.6326463402502";"55.6765122863161";"пластик";"1711259";
70;"Искусственная дорожная неровность по адресу улица Полбина, дом 42, строение 2";"Юго-Восточный административный округ";"район Печатники";"улица Полбина, дом 42, строение 2";"37.7279021433844";"55.6798188079562";"асфальт";"1711267";
71;"Искусственная дорожная неровность по адресу Коломенская набережная, дом 8";"Южный административный округ";"район Нагатинский Затон";"Коломенская набережная, дом 8";"37.707224994364";"55.6802340564328";"пластик";"1711270";
72;"Искусственная дорожная неровность по адресу улица Гурьянова, дом 55";"Юго-Восточный административный округ";"район Печатники";"улица Гурьянова, дом 55";"37.7165056036503";"55.680051817905";"пластик";"1711268";
73;"Искусственная дорожная неровность по адресу Озёрная улица, дом 22";"Западный административный округ";"район Очаково-Матвеевское";"Озёрная улица, дом 22";"37.4554183763114";"55.6780902251818";"пластик";"1711262";
74;"Искусственная дорожная неровность по адресу Нагорная улица, дом 21, корпус 1";"Юго-Западный административный округ";"район Котловка";"Нагорная улица, дом 21, корпус 1";"37.6031269544124";"55.6784708269682";"пластик";"1711263";
75;"Искусственная дорожная неровность по адресу Коломенская набережная, дом 10";"Южный административный округ";"район Нагатинский Затон";"Коломенская набережная, дом 10";"37.7063505940294";"55.6795642004529";"пластик";"1711266";
76;"Искусственная дорожная неровность по адресу улица Садовники, дом 4";"Южный административный округ";"район Нагатино-Садовники";"улица Садовники, дом 4";"37.6501744082111";"55.6778701844046";"пластик";"1711261";
77;"Искусственная дорожная неровность по адресу Высокая улица, дом 6";"Южный административный округ";"район Нагатино-Садовники";"Высокая улица, дом 6";"37.6544064326001";"55.6795491389951";"пластик";"1711265";
78;"Искусственная дорожная неровность по адресу Затонная улица, дом 7";"Южный административный округ";"район Нагатинский Затон";"Затонная улица, дом 7";"37.6839120706208";"55.6801002183463";"пластик";"1711269";
79;"Искусственная дорожная неровность на УДС Нагатинский бульвар с привязкой к адресу Нагатинская набережная, дом 16А";"Южный административный округ";"район Нагатино-Садовники";"Нагатинская набережная, дом 16А";"37.6530604661486";"55.6824678370496";"пластик";"1711275";
80;"Искусственная дорожная неровность по адресу улица Маршала Полубоярова, дом 20";"Юго-Восточный административный округ";"район Выхино-Жулебино";"улица Маршала Полубоярова, дом 20";"37.861931926432";"55.6828430724782";"пластик";"1711276";
81;"Искусственная дорожная неровность по адресу Нагорная улица, дом 11";"Юго-Западный административный округ";"район Котловка";"Нагорная улица, дом 11";"37.6079804117553";"55.680570873327";"пластик";"1711271";
82;"Искусственная дорожная неровность по адресу Коломенская улица, дом 7, строение 2";"Южный административный округ";"район Нагатинский Затон";"Коломенская улица, дом 7, строение 2";"37.7017264657987";"55.6823405423802";"пластик";"1711274";
83;"Искусственная дорожная неровность по адресу Привольная улица, дом 57, корпус 1";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Привольная улица, дом 57, корпус 1";"37.8430438423686";"55.6832745040683";"пластик";"1711279";
84;"Искусственная дорожная неровность по адресу Кленовый бульвар, дом 7";"Южный административный округ";"район Нагатинский Затон";"Кленовый бульвар, дом 7";"37.6738923445867";"55.6831816840186";"пластик";"1711278";
85;"Искусственная дорожная неровность по адресу улица Маршала Полубоярова, дом 22";"Юго-Восточный административный округ";"район Выхино-Жулебино";"улица Маршала Полубоярова, дом 22";"37.8615423666192";"55.6822021686046";"пластик";"1711273";
86;"Искусственная дорожная неровность по адресу Коломенская улица, дом 5";"Южный административный округ";"район Нагатинский Затон";"Коломенская улица, дом 5";"37.7025203986435";"55.6831770434914";"пластик";"1711277";
87;"Искусственная дорожная неровность по адресу улица Авиаконструктора Миля, дом 15, корпус 1";"Юго-Восточный административный округ";"район Выхино-Жулебино";"улица Авиаконструктора Миля, дом 15, корпус 1";"37.8571105173852";"55.6806974206293";"пластик";"1711272";
88;"Искусственная дорожная неровность по адресу улица Гурьянова, дом 35";"Юго-Восточный административный округ";"район Печатники";"улица Гурьянова, дом 35";"37.7174190636318";"55.6834313438715";"пластик";"1711280";
89;"Искусственная дорожная неровность по адресу Батюнинская улица, дом 10";"Юго-Восточный административный округ";"район Печатники";"Батюнинская улица, дом 10";"37.702633386045";"55.6583719696669";"асфальт";"1711288";
90;"Искусственная дорожная неровность по адресу 1-я Курьяновская улица, дом 35";"Юго-Восточный административный округ";"район Печатники";"1-я Курьяновская улица, дом 35";"37.7017340080539";"55.6536637048461";"пластик";"1711282";
91;"Искусственная дорожная неровность по адресу Старокалужское шоссе, дом 64";"Юго-Западный административный округ";"Обручевский район";"Старокалужское шоссе, дом 64";"37.5383777586638";"55.6584180262971";"пластик";"1711289";
92;"Искусственная дорожная неровность по адресу Большая Очаковская улица, дом 16";"Западный административный округ";"район Очаково-Матвеевское";"Большая Очаковская улица, дом 16";"37.4576208064362";"55.6836181083734";"пластик";"1711281";
93;"Искусственная дорожная неровность по адресу Перервинский бульвар, дом 25";"Юго-Восточный административный округ";"район Марьино";"Перервинский бульвар, дом 25";"37.7736537531313";"55.6550220214235";"пластик";"1711284";
94;"Искусственная дорожная неровность по адресу Одесская улица, дом 16";"Юго-Западный административный округ";"район Зюзино";"Одесская улица, дом 16";"37.5903524313718";"55.6561369944622";"пластик";"1711286";
95;"Искусственная дорожная неровность по адресу Малая Юшуньская улица, дом 4";"Юго-Западный административный округ";"район Зюзино";"Малая Юшуньская улица, дом 4";"37.5945743946295";"55.6539243559832";"пластик";"1711283";
96;"Искусственная дорожная неровность по адресу Новомарьинская улица, дом 15";"Юго-Восточный административный округ";"район Марьино";"Новомарьинская улица, дом 15";"37.7664263736826";"55.6578309137198";"пластик";"1711287";
97;"Искусственная дорожная неровность по адресу улица 50 лет Октября, дом 29";"Западный административный округ";"район Солнцево";"улица 50 лет Октября, дом 29";"37.4120908110698";"55.6585024644941";"пластик";"1711290";
98;"Искусственная дорожная неровность по адресу Керченская улица, дом 1";"Юго-Западный административный округ";"район Зюзино";"Керченская улица, дом 1";"37.58369250601";"55.6558463101448";"пластик";"1711285";
99;"Искусственная дорожная неровность 1 по адресу Старокалужское шоссе, дом 62, строение 5";"Юго-Западный административный округ";"Обручевский район";"Старокалужское шоссе, дом 62, строение 5";"37.5358237935138";"55.6611249905745";"пластик";"1711293";
100;"Искусственная дорожная неровность по адресу Белореченская улица, дом 49";"Юго-Восточный административный округ";"район Марьино";"Белореченская улица, дом 49";"37.7777092540753";"55.6608728239376";"пластик";"1711292";
