ROWNUM;NAME;ADDRESS;X;Y;OPLATA;MESTO;VHOD;VNUTR;UNIVERS_USLUGA;GLOBALID;
2131;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 11 эт., сектор 2";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838230";
2132;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 12 эт., сектор 2";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838231";
2133;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 13 эт.,сектор 4";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838232";
2134;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 14 эт.,сектор 4";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838233";
2135;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 15 эт., сектор 2";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838234";
2136;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 2 эт.,сектор 4";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838235";
2137;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 8 эт.";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838236";
2138;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 9 эт.";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838237";
2139;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 10 эт.";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838238";
2140;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 11 эт.";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838239";
2141;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 12 эт.";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838240";
2142;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 13 эт.";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838241";
2143;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 14 эт.";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838242";
2144;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 15 эт.";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838243";
2145;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, морг";"37,706064";"55,888394";"Карты";"Больница";"Нет";"Да";"Нет";"90838244";
2146;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 1 эт.";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838245";
2147;"Школа";"Федоскинская ул. 4 корп. стр. школа 745";"37,703719";"55,868766";"Карты";"Школа";"Нет";"Да";"Нет";"90838246";
2148;"Организация";"Малыгина ул. 2 корп. стр. Организация";"37,70488";"55,877596";"Карты";"Организация";"Нет";"Да";"Нет";"90838247";
2149;"Гостиница";"Таймырская ул. 1 корп. стр. гостиница";"37,704494";"55,884119";"Карты";"Гостиница";"Нет";"Да";"Нет";"90838248";
2150;"Ул.Кабина";"Журавлева пл. 10 корп. стр.";"37,705189";"55,783292";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90838249";
2151;"Общежитие";"Энергетическая ул. 8 корп.3 стр. МЭИ студ.городок";"37,704464";"55,759497";"Карты";"Общежитие";"Нет";"Да";"Нет";"90838250";
2152;"Школа";"Шипиловский пр. 57 корп. стр. Школа 832";"37,705133";"55,60569";"Карты";"Школа";"Нет";"Да";"Нет";"90838251";
2153;"Метро-улица";"Электрозаводская ст. м. корп. стр.";"37,7058";"55,782116";"Карты+монеты";"Метро-улица";"Нет";"Нет";"Нет";"90838252";
2154;"Метро-улица";"Электрозаводская ст. м. корп. стр.";"37,705841";"55,782232";"Карты";"Метро-улица";"Да";"Нет";"Да";"90838253";
2155;"Ул.Кабина";"Электрозаводская ст. м. корп. стр.";"37,705804";"55,782124";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90838254";
2156;"Следственный изолятор";"Лефортовский вал ул. 5 корп. стр. СИЗО №2";"37,705458";"55,761457";"Карты";"Следственный изолятор";"Нет";"Нет";"Нет";"90838255";
2157;"Школа";"Зборовский 1-й пер. 3 корп. стр. Технический колледж";"37,705438";"55,80026";"Карты";"Школа";"Нет";"Да";"Нет";"90838256";
2158;"Общежитие";"Синичкина 1-я ул. 3 корп. стр. МЭИ Общежитие";"37,704803";"55,765206";"Карты";"Общежитие";"Нет";"Да";"Нет";"90838257";
2159;"Общежитие";"Синичкина 1-я ул. 3 корп. стр. МЭИ Общежитие";"37,705596";"55,765445";"Карты";"Общежитие";"Нет";"Да";"Нет";"90838258";
2160;"Школа";"Нижегородская ул. 64 корп. стр. школа 1222";"37,706352";"55,732845";"Карты";"Школа";"Нет";"Да";"Нет";"90838259";
2161;"Школа";"Ореховый бульвар ул. 7 корп.1 стр.";"37,705406";"55,609651";"Карты";"Школа";"Нет";"Да";"Нет";"90838260";
2162;"Школа";"Ореховый бульвар ул. 7 корп.1 стр.";"37,705421";"55,609642";"Карты";"Школа";"Нет";"Да";"Нет";"90838261";
2163;"Школа";"Шипиловская ул. 18 корп.2 стр. Школа 420";"37,707796";"55,61711";"Карты";"Школа";"Нет";"Да";"Нет";"90838262";
2164;"Больница";"Госпитальный пер. 3 корп. стр. госп.Бурденко, 27 отд., 1 этаж";"37,706663";"55,7723";"Карты";"Больница";"Нет";"Нет";"Нет";"90838263";
2165;"Организация";"Богородский вал ул. 8 корп. стр. горсуд, холл";"37,706721";"55,802763";"Карты";"Организация";"Нет";"Нет";"Нет";"90838264";
2166;"Организация";"Богородский вал ул. 8 корп. стр. горсуд, холл";"37,707012";"55,802793";"Карты";"Организация";"Нет";"Нет";"Нет";"90838265";
2167;"Гостиница";"Югорский пр. 2 корп. стр. Гостиница для слепых";"37,707038";"55,875581";"Карты";"Гостиница";"Нет";"Да";"Нет";"90838266";
2168;"Общежитие";"Энергетическая ул. 14 корп.4 стр. МЭИ студгородок эт.1";"37,70753";"55,758675";"Карты";"Общежитие";"Нет";"Да";"Нет";"90838267";
2169;"Ул.Кабина";"Семеновская Б. ул. 23 корп. стр.";"37,707263";"55,782347";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90838268";
2170;"Организация";"Таймырская ул. 4 корп. стр. организация";"37,707685";"55,885148";"Карты";"Организация";"Нет";"Да";"Нет";"90838269";
2171;"Школа";"Авиамоторная ул. 1 корп.2 стр. Школа 424";"37,708009";"55,763568";"Карты";"Школа";"Нет";"Да";"Нет";"90838270";
2172;"Вуз";"Красноказарменная ул. 17 корп. стр. институт МЭИ";"37,708288";"55,754847";"Карты";"Вуз";"Нет";"Нет";"Нет";"90838271";
2173;"Школа";"Гражданская 1-я ул. 96 корп. стр. Школа 1952";"37,709021";"55,80724";"Карты";"Школа";"Нет";"Да";"Нет";"90838272";
2174;"Организация";"Электрозаводская д.60 абонентский зал";"37,709445";"55,793844";"Карты";"Организация";"Нет";"Да";"Нет";"90838273";
2175;"Организация";"Электрозаводская ул. 60 корп. стр. ЛбЦУС-2 Адм. здание, служебный вход";"37,708822";"55,794126";"Карты";"Организация";"Нет";"Нет";"Нет";"90838274";
2176;"Организация";"Электрозаводская ул. 60 корп. стр. ЛбЦУС-2 Адм. здание, служебный вход";"37,70878";"55,794002";"Карты";"Организация";"Нет";"Нет";"Нет";"90838275";
2177;"Вуз";"Лосиноостровская ул. 22 корп. стр. Кадетское училище";"37,710324";"55,825507";"Карты";"Вуз";"Нет";"Да";"Нет";"90838276";
2178;"Школа";"Ярославское шоссе 118 корп. стр. Школа искусств";"37,70995";"55,867893";"Карты";"Школа";"Нет";"Да";"Нет";"90838277";
2179;"Школа";"Домодедовская ул. 24 корп.7 стр. школа 1207";"37,709293";"55,605527";"Карты";"Школа";"Нет";"Да";"Нет";"90838278";
2180;"Ул.Кабина";"Госпитальный вал ул. 5 корп.1 стр.";"37,71022";"55,773996";"Карты";"Ул.Кабина";"Нет";"Нет";"Нет";"90838279";
2181;"Школа";"Олонецкий пр. 6 корп. стр. школа";"37,662909";"55,874284";"Карты";"Школа";"Нет";"Да";"Нет";"90838280";
2182;"Метро-улица";"Андропова просп. 28 корп. стр. у метро";"37,66332";"55,679504";"Карты";"Метро-улица";"Да";"Нет";"Да";"90838281";
2183;"Метро-улица";"Коломенская ст. м. корп. стр. у выхода к магазину ""Гвоздь""";"37,662678";"55,676919";"Карты+монеты";"Метро-улица";"Нет";"Нет";"Нет";"90838282";
2184;"Метро-переход";"Коломенская ст. м. корп. стр. юг";"37,66335";"55,677531";"Карты+монеты";"Метро-переход";"Нет";"Нет";"Нет";"90838283";
2185;"Метро-переход";"Коломенская ст. м. корп. стр. северный переход";"37,663984";"55,679393";"Карты+монеты";"Метро-переход";"Нет";"Нет";"Нет";"90838284";
2186;"Школа";"Кожуховский 1-й пр. 15 корп.2 стр. школа 1272";"37,662955";"55,707605";"Карты";"Школа";"Нет";"Да";"Нет";"90838285";
2187;"Школа";"Кожуховский 1-й пр. 17 корп. стр. школа 1272";"37,663912";"55,708076";"Карты";"Школа";"Нет";"Да";"Нет";"90838286";
2188;"Ул.Кабина";"Симоновский Вал ул. 18/1 корп. стр.";"37,663096";"55,721915";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90838287";
2189;"Ул.Кабина";"Михневская ул. 11 корп. стр.";"37,662373";"55,581334";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90838288";
2190;"Ул.Кабина";"Широкая ул. 16 корп. стр.";"37,662728";"55,887187";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90838289";
